Title,Author,Citation,PMID,Free Access,Abstract
"
              
                Wearable Drone Controller: Machine Learning-Based Hand Gesture Recognition and Vibrotactile Feedback.
              
            ","Lee JW, Yu KH.",<built-in method split of str object at 0x000001D3E03F8D30>,36904870,Yes,"
              We proposed a wearable drone controller with hand gesture recognition and vibrotactile feedback. ...Finally, experiments with a real drone were conducted and discussed to validate the proposed controller....
            "
"
              
                Low-Cost Live Insect Scouting Drone: iDrone Bee.
              
            ","Ryu JH, Clements J, Neufeld J.",<built-in method split of str object at 0x000001D3E2483210>,35793373,Yes,"
Unmanned aerial vehicles (UAVs, e.g., drones) are a common tool for many civil applications, including precision agriculture, transportation, delivery services, rescue missions, law enforcement, and more. ...However, little research has been done to apply  …
            "
"
Drone-Based Environmental Monitoring and Image Processing Approaches for Resource Estimates of Private Native Forest.
              
            ","Srivastava SK, Seng KP, Ang LM, Pachas A'A, Lewis T.",<built-in method split of str object at 0x000001D3E24AAC30>,36298223,Yes,"
              This paper investigated the utility of drone-based environmental monitoring to assist with forest inventory in Queensland private native forests (PNF). ...The study indicated that a drone with a basic RGB camera can estimate tree height with good confidence. ...
            "
"
Drone-Mountable Gas Sensing Platform Using Graphene Chemiresistors for Remote In-Field Monitoring.
              
            ","Park J, Jumu F, Power J, Richard M, Elsahli Y, Jarkas MA, Ruan A, Luican-Mayer A, Ménard JM.",<built-in method split of str object at 0x000001D3E24023D0>,35336554,Yes,"
              We present the design, fabrication, and testing of a drone-mountable gas sensing platform for environmental monitoring applications. ...We show that the design, based on an ESP32 microcontroller combined with a 32-bit analog-to-digital converter, can be used to achieve an …
            "
"
              
                High-Resolution Drone Detection Based on Background Difference and SAG-YOLOv5s.
              
            ","Lv Y, Ai Z, Chen M, Gong X, Wang Y, Lu Z.",<built-in method split of str object at 0x000001D3E247AE20>,35957382,Yes,"
              First, background difference is used to extract potential drone targets in high-resolution images, eliminating most of the background to reduce computational overhead. ...It achieves a good balance between detection accuracy and detection speed and provides a method benchm …
            "
"
Drone images afford more detections of marine wildlife than real-time observers during simultaneous large-scale surveys.
              
            ","Hodgson AJ, Kelly N, Peel D.",<built-in method split of str object at 0x000001D3E2482CD0>,37941930,Yes,"
              There are many advantages to transitioning from conducting marine wildlife surveys via human observers onboard light-aircraft, to capturing aerial imagery using drones. However, it is important to maintain the validity of long-term data series whilst transitioning f …
            "
"
Drone routing problem model for last-mile delivery using the public transportation capacity as moving charging stations.
              
            ","Moadab A, Farajzadeh F, Fatahi Valilai O.",<built-in method split of str object at 0x000001D3E2483E50>,35428789,Yes,"
              Many firms are looking for ways to cut delivery times and costs by exploring opportunities to take advantage of drone technology. Deploying drones as a promising technology is more efficient from both environmental and economic perspectives in last-mile delivery. .. …
            "
"
Drone delivery of defibrillators for sudden cardiac arrest could shorten response times.
              
            ",Fernández-Ruiz I.,<built-in method split of str object at 0x000001D3E24AAA30>,34508233,No,"
"
"
              
                Post-Traumatic Stress Disorder Among U.S. Army Drone Operators.
              
            ","Nelson DA, Wilson M, Kurina LM.",<built-in method split of str object at 0x000001D3E2483750>,35859303,No,"
              INTRODUCTION: Exposure to traumatic events could increase post-traumatic stress disorder (PTSD) risk among enlisted U.S. Army drone operators. Published research on PTSD risk in this population is unavailable.METHODS: We used a combined medical and administrative longitudi …
            "
"
              
                Proposed Injury Threshold for Drone Blade Lacerations.
              
            ","Duma LA, Begonia MT, Miller B, Duma SM.",<built-in method split of str object at 0x000001D3E247AC40>,33686619,No,"
              The objective of this study was to determine the aspects of drone blades that cause injuries, and to help manufacturers design safer drones by suggesting an injury threshold. The blade tip thickness, blade length, angular velocity, and blade tip speed of a variety o …
            "
"
Drone Secure Communication Protocol for Future Sensitive Applications in Military Zone.
              
            ","Ko Y, Kim J, Duguma DG, Astillo PV, You I, Pau G.",<built-in method split of str object at 0x000001D3E247B2D0>,33804023,Yes,"
Unmanned Aerial Vehicle (UAV) plays a paramount role in various fields, such as military, aerospace, reconnaissance, agriculture, and many more. The development and implementation of these devices have become vital in terms of usability and reachability. ...
            "
"
              
                Counter a Drone in a Complex Neighborhood Area by Deep Reinforcement Learning.
              
            ","Çetin E, Barrado C, Pastor E.",<built-in method split of str object at 0x000001D3E24A9A30>,32325689,Yes,"
              Considering the recent advances in AI, counter-drone systems with AI can be very accurate and efficient to fight against drones. ...We believe that counter-drone technology with AI will bring important advantages to the threats coming from some drones …
            "
"
              
                One-Shot Imitation Drone Filming of Human Motion Videos.
              
            ","Huang C, Dang Y, Chen P, Yang X, Cheng KT.",<built-in method split of str object at 0x000001D3E2472AF0>,33735075,No,"
              We implemented the approach with a deep neural network and deployed it on a 6 degrees of freedom (DOF) drone system by first predicting the future camera motions, and then converting them into the drone's control commands via an odometer. ...
            "
"
              
                Mini-drone assisted tree canopy sampling: a low-cost and high-precision solution.
              
            ","Liu Z, Yan Y, Pang J, Guo Q, Guan J, Gu J.",<built-in method split of str object at 0x000001D3E3A24130>,37929167,Yes,"
              Various methods, including pole pruner, tree climber, shooter, throw-line launcher, hydraulic lift (e.g., tower crane) and UAV (unmanned aerial vehicle)-based devices, have been used, however, they are limited by sampling height restrictions, safety hazards t …
            "
"
              
                Visual attention prediction improves performance of autonomous drone racing agents.
              
            ","Pfeiffer C, Wengeler S, Loquercio A, Scaramuzza D.",<built-in method split of str object at 0x000001D3E3816340>,35231038,Yes,"
              Humans race drones faster than neural networks trained for end-to-end autonomous flight. ...We test this hypothesis using eye gaze and flight trajectory data from 18 human drone pilots to train a visual attention prediction model. We then use this visual attention p …
            "
"
              
                Investigation of Metrics for Assessing Human Response to Drone Noise.
              
            ","Torija AJ, Nicholls RK.",<built-in method split of str object at 0x000001D3E3A24430>,35328839,Yes,"
              Responses for the drone sounds tested were found to be highly sensitive to the distance between drone and receiver, measured in terms of height above ground level (HAGL). All these findings could inform the optimisation of drone operating conditions in order …
            "
"
              
                Task-Incremental Learning for Drone Pilot Identification Scheme.
              
            ","Han L, Zhong X, Zhang Y.",<built-in method split of str object at 0x000001D3E2482B10>,37447829,Yes,"
              With the maturity of Unmanned Aerial Vehicle (UAV) technology and the development of Industrial Internet of Things, drones have become an indispensable part of intelligent transportation systems. ...To address this challenge, we propose an incremental learnin …
            "
"
Drone-assisted collection of environmental DNA from tree branches for biodiversity monitoring.
              
            ","Aucone E, Kirchgeorg S, Valentini A, Pellissier L, Deiner K, Mintchev S.",<built-in method split of str object at 0x000001D3E3BD2780>,36652506,No,"
              Here, we propose to survey biodiversity by sampling eDNA on the outer branches of tree canopies with an aerial robot. The drone combines a force-sensing cage with a haptic-based control strategy to establish and maintain contact with the upper surface of the branche …
            "
"
              
                Underwater Drone Architecture for Marine Digital Twin: Lessons Learned from SUSHI DROP Project.
              
            ","Lambertini A, Menghini M, Cimini J, Odetti A, Bruzzone G, Bibuli M, Mandanici E, Vittuari L, Castaldi P, Caccia M, De Marchi L.",<built-in method split of str object at 0x000001D3E24917F0>,35161495,Yes,"
              Underwater ecosystems present greater challenges and remain largely unexplored, but the need for reliable and up-to-date information motivated the birth of the Interreg Italy-Croatia SUSHI DROP Project (SUstainable fiSHeries wIth DROnes data Processing). The aim of the pro …
            "
"
Drone delivery of automated external defibrillators compared with ambulance arrival in real-life suspected out-of-hospital cardiac arrests: a prospective observational study in Sweden.
              
            ","Schierbeck S, Nord A, Svensson L, Ringh M, Nordberg P, Hollenberg J, Lundgren P, Folke F, Jonsson M, Forsberg S, Claesson A.",<built-in method split of str object at 0x000001D3E2435BC0>,38000871,Yes,"
              Explorative outcomes were percentage of attached drone-delivered AEDs before ambulance arrival and the percentage of cases defibrillated by a drone-delivered AED when it was used before ambulance arrival. ...In cases for which arrival times for both drone and …
            "
"
Drone-Augmented Human Vision: Exocentric Control for Drones Exploring Hidden Areas.
              
            ","Erat O, Isop WA, Kalkofen D, Schmalstieg D.",<built-in method split of str object at 0x000001D3E3A24530>,29543162,No,"
              This paper investigates the potential of drone-augmented human vision, i.e., of exploring the environment and controlling the drone indirectly from an exocentric viewpoint. ...We assess our system with a first experiment showing how drone-augmented human visi …
            "
"
              
                Energy-Aware Dynamic 3D Placement of Multi-Drone Sensing Fleet.
              
            ","Luo Y, Chen Y.",<built-in method split of str object at 0x000001D3E3A752E0>,33918003,Yes,"
Unmanned Aerial Vehicles (UAVs, also known as drones) have become increasingly appealing with various applications and services over the past years. ...This paper presents a 3D placement scheme for multi-drone sensing/monitoring platforms, where a flee …
            "
"
              
                Influence of drone carriage material on maintenance of storage temperature and quality of blood samples during transportation in an equatorial climate.
              
            ","Zailani MAH, Raja Sabudin RZA, Ismail A, Abd Rahman R, Mohd Saiboon I, Sabri SI, Seong CK, Mail J, Md Jamal S, Beng GK, Mahdy ZA.",<built-in method split of str object at 0x000001D3E24B94D0>,36070297,Yes,"
              Two phases of drone simulation flights were conducted in Cyberjaya, Malaysia. In Phase 1, the effect of drone carriage material on the internal storage temperature during blood samples transportation was determined. ...Drone carriage material is an important …
            "
"
              
                Conditional trust: Community perceptions of drone use in malaria control in Zanzibar.
              
            ","Hardy A, Proctor M, MacCallum C, Shawe J, Abdalla S, Ali R, Abdalla S, Oakes G, Rosu L, Worrall E.",<built-in method split of str object at 0x000001D3E2473510>,35299834,Yes,"
              Although permissions from civil aviation authorities are often needed for drone operations, the communities over which they fly tend to be ignored: How do affected communities perceive drones? ...A community engagement framework was developed, based on participatory …
            "
"
              
                Blood delivery by drone: a faltering step in a promising direction.
              
            ","Li Q, Xia J, Ge F, Lu Q, Zhang M.",<built-in method split of str object at 0x000001D3E3A24C30>,35839810,Yes,"
"
"
              
                A Comprehensive Collection and Analysis Model for the Drone Forensics Field.
              
            ","Alotaibi FM, Al-Dhaqm A, Al-Otaibi YD, Alsewari AA.",<built-in method split of str object at 0x000001D3E3A25230>,36080945,Yes,"
Unmanned aerial vehicles (UAVs) are adaptable and rapid mobile boards that can be applied to several purposes, especially in smart cities. ...Drone-based evidence collection and preservation entails accumulating and collecting digital evidence from the dro …
            "
"
              
                Generative Adversarial Networks and Data Clustering for Likable Drone Design.
              
            ","Yamin LJ, Cauchard JR.",<built-in method split of str object at 0x000001D3E2483BB0>,36080891,Yes,"
              Novel applications for human-drone interaction demand new design approaches, such as social drones that need to be perceived as likable by users. ...This work leverages deep learning-based techniques to generate novel likable drone images. We collected a d …
            "
"
              
                A bio-mimetic miniature drone for real-time audio based short-range tracking.
              
            ","Zigelman R, Eitan O, Mazar O, Weiss A, Yovel Y.",<built-in method split of str object at 0x000001D3E2473870>,35259156,Yes,"
              In this project, we set to mimic this ability using a physical bio-mimetic autonomous drone. We equipped a miniature commercial drone with our in-house 2D sound localization electronic circuit which uses two microphones (mimicking biological ears) to localize sound …
            "
"
              
                Automated Detection of Rice Bakanae Disease via Drone Imagery.
              
            ","Kim D, Jeong S, Kim B, Kim SJ, Kim H, Jeong S, Yun GY, Kim KY, Park K.",<built-in method split of str object at 0x000001D3E3A25330>,36616630,Yes,"
              This paper proposes a system for the forecasting and automated inspection of rice Bakanae disease (RBD) infection rates via drone imagery. The proposed system synthesizes camera calibrations and area calculations in the optimal data domain to detect infected bunches and cl …
            "
"
              
                Use of a Drone-Delivered Automated External Defibrillator in an Out-of-Hospital Cardiac Arrest.
              
            ","Schierbeck S, Svensson L, Claesson A.",<built-in method split of str object at 0x000001D3E2F24300>,35584161,No,"
"
"
Drone for medical products transportation in maternal healthcare: A systematic review and framework for future research.
              
            ","Zailani MAH, Sabudin RZAR, Rahman RA, Saiboon IM, Ismail A, Mahdy ZA.",<built-in method split of str object at 0x000001D3E2473AB0>,32899033,Yes,"
              The report was made in accordance with the principles of PRISMA guidelines. The search terms used were related to drones including unmanned aerial vehicle (UAV) and unmanned aerial system (UAS), and related to obstetric/maternal including obstet …
            "
"
              
                Comparison of drone and vessel-based collection of microbiological water samples in marine environments.
              
            ","Horricks RA, Bannister C, Lewis-McCrea LM, Hicks J, Watson K, Reid GK.",<built-in method split of str object at 0x000001D3E2473BD0>,35593922,Yes,"
              In Canada, the Canadian Shellfish Sanitation Program aims to avoid consumption of contaminated molluscan bivalves by monitoring fecal coliform bacteria through vessel-based water sample collection. Uncrewed aerial vehicles or drones are becoming more commonly used f …
            "
"
Drone-based investigation of natural restoration of vegetation in the water level fluctuation zone of cascade reservoirs in Jinsha River.
              
            ","Jiang W, Li W, Zhou J, Wang P, Xiao H.",<built-in method split of str object at 0x000001D3E39EC490>,35902673,Yes,"
"
"
              
                An autonomous drone for search and rescue in forests using airborne optical sectioning.
              
            ","Schedl DC, Kurmi I, Bimber O.",<built-in method split of str object at 0x000001D3E41DD210>,34162744,No,"
              Autonomous drones will play an essential role in human-machine teaming in future search and rescue (SAR) missions. ...Once received, these results can be visually enhanced for interpretation on remote mobile devices....
            "
"
              
                Utilizing Drone-Based Ground-Penetrating Radar for Crime Investigations in Localizing and Identifying Clandestine Graves.
              
            ","Lijcklama À Nijeholt L, Kronshorst TY, Teeffelen KV, van Manen B, Emaus R, Knotter J, Mersha A.",<built-in method split of str object at 0x000001D3E2435D10>,37631665,Yes,"
              Ground-penetrating radar (GPR) is an effective technology for identifying potential grave locations without disturbance. This research aimed to prototype a drone system integrating GPR to assist in grave localization and to develop software for data management. ...It is su …
            "
"
              
                Learning Transferable Driven and Drone Assisted Sustainable and Robust Regional Disease Surveillance for Smart Healthcare.
              
            ","Jin Y, Qian Z, Gong S, Yang W.",<built-in method split of str object at 0x000001D3E3F85240>,32804655,No,"
              Given a set of Disease surveillance Area (DsA)s and Point of disease Surveillance (PoS)s, some sensors are deployed to monitor these PoSs, and a drone collect data from the sensors as well as charge the sensors to extend their life-cycles. The drone replenish its en …
            "
"
              
                Social Drone Sharing to Increase UAV Patrolling Autonomy in Pre- and Post-Emergency Scenarios.
              
            ","Bisio IS, Morando L, Recchiuto CT, Sgorbissa A.",<built-in method split of str object at 0x000001D3E4340140>,35445081,Yes,"
              Multirotor drones are becoming increasingly popular in a number of application fields, with a unique appeal to the scientific community and the general public. ...Specifically, the article focuses on teams of drones in pre- and post-event monitoring and assessment. …
            "
"
              
                A colonial-nesting seabird shows no heart-rate response to drone-based population surveys.
              
            ","Geldart EA, Barnas AF, Semeniuk CAD, Gilchrist HG, Harris CM, Love OP.",<built-in method split of str object at 0x000001D3E3A26130>,36335150,Yes,"
Aerial drones are increasingly being used as tools for ecological research and wildlife monitoring in hard-to-access study systems, such as in studies of colonial-nesting birds. ...Eider heart rate did not change from baseline (measured in the absence of drone …
            "
"
              
                A bioinspired revolving-wing drone with passive attitude stability and efficient hovering flight.
              
            ","Bai S, He Q, Chirarattananon P.",<built-in method split of str object at 0x000001D3E2483910>,35544606,No,"
              Here, the bioinspired principles are adopted to notably reduce the power consumption of small aerial vehicles by means of a samara-inspired robot. We report a dual-wing 35.1-gram aircraft capable of hovering flight via powered gyration. ...Through the analysis of flight dy …
            "
"
              
                Real-Time and Accurate Drone Detection in a Video with a Static Background.
              
            ","Seidaliyeva U, Akhmetov D, Ilipbayeva L, Matson ET.",<built-in method split of str object at 0x000001D3E3A26830>,32664365,Yes,"
              With the increasing number of drones, the danger of their illegal use has become relevant. This has necessitated the creation of automatic drone protection systems. ...From the point of view of the price-quality ratio, the use of video cameras for a drone det …
            "
"
              
                Analysis of Honeybee Drone Activity during the Mating Season in Northwestern Argentina.
              
            ","Ayup MM, Gärtner P, Agosto-Rivera JL, Marendy P, de Souza P, Galindo-Cardona A.",<built-in method split of str object at 0x000001D3E2473CF0>,34205532,Yes,"
              Yet, in nature, these changes are subtle and often unobservable without the development and use of modern technology. During the spring and summer mating season, drones emerge from the hive, perform orientation flights, and search for drone congregation areas for ma …
            "
"
              
                Coverage Path Planning and Point-of-Interest Detection Using Autonomous Drone Swarms.
              
            ","Bezas K, Tsoumanis G, Angelis CT, Oikonomou K.",<built-in method split of str object at 0x000001D3E2F255C0>,36236651,Yes,"
Unmanned Aerial Vehicles (UAVs) or drones presently are enhanced with miniature sensors that can provide information relative to their environment. ...In the current work, a CPP algorithm is proposed for a swarm of drones to detect points of interest a …
            "
"
              
                Secure Drone Network Edge Service Architecture Guaranteed by DAG-Based Blockchain for Flying Automation under 5G.
              
            ","Gao Y, Liu Y, Wen Q, Lin H, Chen Y.",<built-in method split of str object at 0x000001D3E39EC3B0>,33143360,Yes,"
              Therefore, it has become an inevitable trend to realize drone flying automation. Drone flying automation mainly relies on massive drone applications and services as well as third-party service providers, which not only complicate the drone network serv …
            "
"
Drone-based assessment of microsite-scale hydrological processes promoted by restoration actions in early post-mining ecological restoration stages.
              
            ","Morcillo L, Turrión D, Fuentes D, Vilagrosa A.",<built-in method split of str object at 0x000001D3E4148B70>,37931436,Yes,"
              The combination of different restoration techniques to reestablish vegetation, such as sowing and plantation, implies the interspersion of bare-soil areas with vegetated areas in early plant development stages, which may result in an associated mosaic of hydrologic functioning. I …
            "
"
              
                The emergence of marine recreational drone fishing: Regional trends and emerging concerns.
              
            ","Winkler AC, Butler EC, Attwood CG, Mann BQ, Potts WM.",<built-in method split of str object at 0x000001D3E3A26F30>,34145559,Yes,"
              Online evidence suggests that there has been an increase in interest of using unmanned aerial vehicles or drones during land-based marine recreational fishing. ...In terms of governance, no resource use legislation specifically directed at recreational dro …
            "
"
              
                A Coordinated Vehicle-Drone Arc Routing Approach Based on Improved Adaptive Large Neighborhood Search.
              
            ","Wu G, Zhao K, Cheng J, Ma M.",<built-in method split of str object at 0x000001D3E39ED0D0>,35632111,Yes,"
              The most common way to patrol is using ground vehicles, which may be inflexible and inefficient. The vehicle-drone coordination maximizes utilizing the flexibility of drones and addresses their limited battery capacity issue. This paper studied a vehicle-drone …
            "
"
Drones in wine and medicine.
              
            ",McCann SR.,<built-in method split of str object at 0x000001D3E2F25B60>,34773087,No,"
"
