Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
Drone a technological leap in health care delivery in distant and remote inaccessible areas: A narrative review.
              
            ","Sharma S, Sharma H.",<built-in method split of str object at 0x000001C4051C5F20>,38313723,Yes,"
              However, the carrying capacity of drone is less, it is not able to carry heavier payloads. Also, operating drones requires trained operators, and it is a new venture in a developing country so possibilities of confusion and lack of clarity on operating procedures ar …
            ",https://pubmed.ncbi.nlm.nih.gov/38313723/
"
Drone versus ambulance for blood products transportation: an economic evaluation study.
              
            ","Zailani MA, Azma RZ, Aniza I, Rahana AR, Ismail MS, Shahnaz IS, Chan KS, Jamaludin M, Mahdy ZA.",<built-in method split of str object at 0x000001C405125F10>,34863156,Yes,"
              The Cost-Effectiveness Ratio (CER) of ambulance transportation was RM37.23 (USD9.05) per minute whilst the CER of drone transportation was RM72.96 (USD17.74) per minute. The ICER of drone versus ambulance was - 2.95, implying an increase of RM2.95 in cost for every …
            ",https://pubmed.ncbi.nlm.nih.gov/34863156/
"
              
                Requirements for Drone Operations to Minimise Community Noise Impact.
              
            ","Ramos-Romero C, Green N, Roberts S, Clark C, Torija AJ.",<built-in method split of str object at 0x000001C4051C1590>,35954654,Yes,"
              The number of applications for drones under R&D have growth significantly during the last few years; however, the wider adoption of these technologies requires ensuring public trust and acceptance. ...It is considered that with further refinement, this modelling framew …
            ",https://pubmed.ncbi.nlm.nih.gov/35954654/
"
Drone Model Classification Using Convolutional Neural Network Trained on Synthetic Data.
              
            ","Wisniewski M, Rana ZA, Petrunin I.",<built-in method split of str object at 0x000001C4051CD8B0>,36005461,Yes,"
              We present a convolutional neural network (CNN) that identifies drone models in real-life videos. The neural network is trained on synthetic images and tested on a real-life dataset of drone videos. ...Three common drone models are classified: DJI Phantom, DJ …
            ",https://pubmed.ncbi.nlm.nih.gov/36005461/
"
Drone Controller Localization Based on RSSI Ratio.
              
            ","Wang Y, Zeng Y, Sun S, Tan PH, Ma Y, Kurniawan E.",<built-in method split of str object at 0x000001C4051C5C50>,37299889,Yes,"
              We proposed two methods for the localization of drone controllers based on received signal strength indicator (RSSI) ratios: the RSSI ratio fingerprint method and the model-based RSSI ratio algorithm. ...Our methods provide a robust and effective solution for the localizat …
            ",https://pubmed.ncbi.nlm.nih.gov/37299889/
"
              
                Defibrillation for out-of-hospital cardiac arrest. Year of the drone?
              
            ",Smith CM.,<built-in method split of str object at 0x000001C4051C5B60>,35090969,No,"
",https://pubmed.ncbi.nlm.nih.gov/35090969/
"
Drone Laying Honey Bee Workers in Queen Monitoring Cages.
              
            ","Fine JD, Litsey EM.",<built-in method split of str object at 0x000001C40601E3F0>,35703425,Yes,"
              However, although the conditions required to facilitate queen egg production in a laboratory setting have been established, limited work has addressed the requirements for stimulating and monitoring worker egg laying. Here, we documented that drone laying workers will lay …
            ",https://pubmed.ncbi.nlm.nih.gov/35703425/
"
              
                Countering a Drone in a 3D Space: Analyzing Deep Reinforcement Learning Methods.
              
            ","Çetin E, Barrado C, Pastor E.",<built-in method split of str object at 0x000001C4051FC630>,36433460,Yes,"
Unmanned aerial vehicles (UAV), also known as drones have been used for a variety of reasons and the commercial drone market growth is expected to reach remarkable levels in the near future. ...There are various counter-drone methods available i …
            ",https://pubmed.ncbi.nlm.nih.gov/36433460/
"
              
                Chemotherapy delivery service by drone lifts off.
              
            ",Shepherd A.,<built-in method split of str object at 0x000001C405187EC0>,35820688,No,"
",https://pubmed.ncbi.nlm.nih.gov/35820688/
"
              
                A dataset for multi-sensor drone detection.
              
            ","Svanström F, Alonso-Fernandez F, Englund C.",<built-in method split of str object at 0x000001C4051C18F0>,34765710,Yes,"
              The use of small and remotely controlled unmanned aerial vehicles (UAVs), referred to as drones, has increased dramatically in recent years, both for professional and recreative purposes. ...Given that the drones must be flown within visual range due t …
            ",https://pubmed.ncbi.nlm.nih.gov/34765710/
"
              
                Human drone interaction in delivery of medical supplies: A scoping review of experimental studies.
              
            ","Stephan F, Reinsperger N, Grünthal M, Paulicke D, Jahn P.",<built-in method split of str object at 0x000001C4051262A0>,35482656,Yes,"
              BACKGROUND: The COVID-19 pandemic, ageing populations and the increasing shortage of skilled workers pose great challenges for the delivery of supplies for people with and without care needs. The potential of drones, as unmanned air vehicles, in healthcare are huge …
            ",https://pubmed.ncbi.nlm.nih.gov/35482656/
"
              
             Apartheid drone: Infrastructures of militarism and the hidden genealogies of the South African Seeker.
              
            ",Chandler K.,<built-in method split of str object at 0x000001C4032B97C0>,35833219,No,"
              In the 1980s and 1990s, South Africa was considered a global leader in the development of unmanned aircraft largely because of the Seeker, a drone created by the state-controlled armaments industry during apartheid. This article examines how military power, state-en …
            ",https://pubmed.ncbi.nlm.nih.gov/35833219/
"
              
                Simulation-Based Drone Assisted Search Operations in a River.
              
            ","Cicek M, Pasli S, Imamoglu M, Yadigaroglu M, Beser MF, Gunduz A.",<built-in method split of str object at 0x000001C4051C1A10>,35843856,No,"
              There are few simulation studies in which drones provided rescue support. However, the literature does not contain any simulation studies involving the use of drones to locate lost ""victims"" represented by dummies in rivers. ...The use of drones in search and …
            ",https://pubmed.ncbi.nlm.nih.gov/35843856/
"
Drone-Fleet-Enabled Logistics: A Joint Design of Flight Trajectory and Package Delivery.
              
            ","Jia Y, Zhang Y, Luo K, Wen W.",<built-in method split of str object at 0x000001C4051CF3D0>,35459039,Yes,"
              In this work, we focus on a drone-fleet-enabled package delivery scenario, in which multiple drones fly from a start point and cooperatively deliver packages to the ground users in the presence of a number of no-fly zones (NFZs). ...Then, a package value maximizatio …
            ",https://pubmed.ncbi.nlm.nih.gov/35459039/
"
              
                Optimizing a Drone Network to Respond to Opioid Overdoses.
              
            ","Cox DJ, Ye JJ, Zhang C, Van Vleet L, Nickenig Vissoci JR, Buckland DM.",<built-in method split of str object at 0x000001C4061C6450>,37788021,Yes,"
              Genetic optimization was then used to maximize county coverage by drones and the number of overdoses covered per drone base. From this model, we identified base locations that minimize response time and the number of drone bases required. Results: In a dro …
            ",https://pubmed.ncbi.nlm.nih.gov/37788021/
"
Drone-based physiological index reveals long-term acclimation and drought stress responses in trees.
              
            ","D'Odorico P, Schönbeck L, Vitali V, Meusburger K, Schaub M, Ginzler C, Zweifel R, Velasco VME, Gisler J, Gessler A, Ensminger I.",<built-in method split of str object at 0x000001C4050C34B0>,34462922,Yes,"
              Monitoring early tree physiological responses to drought is key to understanding progressive impacts of drought on forests and identifying resilient species. We combined drone-based multispectral remote sensing with measurements of tree physiology and environmental paramet …
            ",https://pubmed.ncbi.nlm.nih.gov/34462922/
"
              
                Defending Airports from UAS: A Survey on Cyber-Attacks and Counter-Drone Sensing Technologies.
              
            ","Lykou G, Moustakas D, Gritzalis D.",<built-in method split of str object at 0x000001C4051C66A0>,32580402,Yes,"
              As the fastest growing segment of aviation, unmanned aerial systems (UAS) continue to increase in number, technical complexity and capabilities. ...In this paper, we present a survey of drone incidents near airports and a literature review of sensor technolog …
            ",https://pubmed.ncbi.nlm.nih.gov/32580402/
"
              
                Wearable Drone Controller: Machine Learning-Based Hand Gesture Recognition and Vibrotactile Feedback.
              
            ","Lee JW, Yu KH.",<built-in method split of str object at 0x000001C4030B8D30>,36904870,Yes,"
              We proposed a wearable drone controller with hand gesture recognition and vibrotactile feedback. ...Finally, experiments with a real drone were conducted and discussed to validate the proposed controller....
            ",https://pubmed.ncbi.nlm.nih.gov/36904870/
"
              
                Low-Cost Live Insect Scouting Drone: iDrone Bee.
              
            ","Ryu JH, Clements J, Neufeld J.",<built-in method split of str object at 0x000001C4051CF210>,35793373,Yes,"
Unmanned aerial vehicles (UAVs, e.g., drones) are a common tool for many civil applications, including precision agriculture, transportation, delivery services, rescue missions, law enforcement, and more. ...However, little research has been done to apply  …
            ",https://pubmed.ncbi.nlm.nih.gov/35793373/
"
Drone-Based Environmental Monitoring and Image Processing Approaches for Resource Estimates of Private Native Forest.
              
            ","Srivastava SK, Seng KP, Ang LM, Pachas A'A, Lewis T.",<built-in method split of str object at 0x000001C4051FEC30>,36298223,Yes,"
              This paper investigated the utility of drone-based environmental monitoring to assist with forest inventory in Queensland private native forests (PNF). ...The study indicated that a drone with a basic RGB camera can estimate tree height with good confidence. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36298223/
"
Drone-Mountable Gas Sensing Platform Using Graphene Chemiresistors for Remote In-Field Monitoring.
              
            ","Park J, Jumu F, Power J, Richard M, Elsahli Y, Jarkas MA, Ruan A, Luican-Mayer A, Ménard JM.",<built-in method split of str object at 0x000001C405126500>,35336554,Yes,"
              We present the design, fabrication, and testing of a drone-mountable gas sensing platform for environmental monitoring applications. ...We show that the design, based on an ESP32 microcontroller combined with a 32-bit analog-to-digital converter, can be used to achieve an …
            ",https://pubmed.ncbi.nlm.nih.gov/35336554/
"
              
                High-Resolution Drone Detection Based on Background Difference and SAG-YOLOv5s.
              
            ","Lv Y, Ai Z, Chen M, Gong X, Wang Y, Lu Z.",<built-in method split of str object at 0x000001C4051C6E20>,35957382,Yes,"
              First, background difference is used to extract potential drone targets in high-resolution images, eliminating most of the background to reduce computational overhead. ...It achieves a good balance between detection accuracy and detection speed and provides a method benchm …
            ",https://pubmed.ncbi.nlm.nih.gov/35957382/
"
Drone images afford more detections of marine wildlife than real-time observers during simultaneous large-scale surveys.
              
            ","Hodgson AJ, Kelly N, Peel D.",<built-in method split of str object at 0x000001C4051CECD0>,37941930,Yes,"
              There are many advantages to transitioning from conducting marine wildlife surveys via human observers onboard light-aircraft, to capturing aerial imagery using drones. However, it is important to maintain the validity of long-term data series whilst transitioning f …
            ",https://pubmed.ncbi.nlm.nih.gov/37941930/
"
Drone routing problem model for last-mile delivery using the public transportation capacity as moving charging stations.
              
            ","Moadab A, Farajzadeh F, Fatahi Valilai O.",<built-in method split of str object at 0x000001C4051CFE50>,35428789,Yes,"
              Many firms are looking for ways to cut delivery times and costs by exploring opportunities to take advantage of drone technology. Deploying drones as a promising technology is more efficient from both environmental and economic perspectives in last-mile delivery. .. …
            ",https://pubmed.ncbi.nlm.nih.gov/35428789/
"
Drone delivery of defibrillators for sudden cardiac arrest could shorten response times.
              
            ",Fernández-Ruiz I.,<built-in method split of str object at 0x000001C4051FEA30>,34508233,No,"
",https://pubmed.ncbi.nlm.nih.gov/34508233/
"
              
                Post-Traumatic Stress Disorder Among U.S. Army Drone Operators.
              
            ","Nelson DA, Wilson M, Kurina LM.",<built-in method split of str object at 0x000001C4051CF750>,35859303,No,"
              INTRODUCTION: Exposure to traumatic events could increase post-traumatic stress disorder (PTSD) risk among enlisted U.S. Army drone operators. Published research on PTSD risk in this population is unavailable.METHODS: We used a combined medical and administrative longitudi …
            ",https://pubmed.ncbi.nlm.nih.gov/35859303/
"
              
                Proposed Injury Threshold for Drone Blade Lacerations.
              
            ","Duma LA, Begonia MT, Miller B, Duma SM.",<built-in method split of str object at 0x000001C4051C6C40>,33686619,No,"
              The objective of this study was to determine the aspects of drone blades that cause injuries, and to help manufacturers design safer drones by suggesting an injury threshold. The blade tip thickness, blade length, angular velocity, and blade tip speed of a variety o …
            ",https://pubmed.ncbi.nlm.nih.gov/33686619/
"
Drone Secure Communication Protocol for Future Sensitive Applications in Military Zone.
              
            ","Ko Y, Kim J, Duguma DG, Astillo PV, You I, Pau G.",<built-in method split of str object at 0x000001C4051C72D0>,33804023,Yes,"
Unmanned Aerial Vehicle (UAV) plays a paramount role in various fields, such as military, aerospace, reconnaissance, agriculture, and many more. The development and implementation of these devices have become vital in terms of usability and reachability. ...
            ",https://pubmed.ncbi.nlm.nih.gov/33804023/
"
              
                Counter a Drone in a Complex Neighborhood Area by Deep Reinforcement Learning.
              
            ","Çetin E, Barrado C, Pastor E.",<built-in method split of str object at 0x000001C4051FDA30>,32325689,Yes,"
              Considering the recent advances in AI, counter-drone systems with AI can be very accurate and efficient to fight against drones. ...We believe that counter-drone technology with AI will bring important advantages to the threats coming from some drones …
            ",https://pubmed.ncbi.nlm.nih.gov/32325689/
"
              
                One-Shot Imitation Drone Filming of Human Motion Videos.
              
            ","Huang C, Dang Y, Chen P, Yang X, Cheng KT.",<built-in method split of str object at 0x000001C4051C29D0>,33735075,No,"
              We implemented the approach with a deep neural network and deployed it on a 6 degrees of freedom (DOF) drone system by first predicting the future camera motions, and then converting them into the drone's control commands via an odometer. ...
            ",https://pubmed.ncbi.nlm.nih.gov/33735075/
"
              
                Mini-drone assisted tree canopy sampling: a low-cost and high-precision solution.
              
            ","Liu Z, Yan Y, Pang J, Guo Q, Guan J, Gu J.",<built-in method split of str object at 0x000001C406784130>,37929167,Yes,"
              Various methods, including pole pruner, tree climber, shooter, throw-line launcher, hydraulic lift (e.g., tower crane) and UAV (unmanned aerial vehicle)-based devices, have been used, however, they are limited by sampling height restrictions, safety hazards t …
            ",https://pubmed.ncbi.nlm.nih.gov/37929167/
"
              
                Visual attention prediction improves performance of autonomous drone racing agents.
              
            ","Pfeiffer C, Wengeler S, Loquercio A, Scaramuzza D.",<built-in method split of str object at 0x000001C40657A340>,35231038,Yes,"
              Humans race drones faster than neural networks trained for end-to-end autonomous flight. ...We test this hypothesis using eye gaze and flight trajectory data from 18 human drone pilots to train a visual attention prediction model. We then use this visual attention p …
            ",https://pubmed.ncbi.nlm.nih.gov/35231038/
"
              
                Investigation of Metrics for Assessing Human Response to Drone Noise.
              
            ","Torija AJ, Nicholls RK.",<built-in method split of str object at 0x000001C406784430>,35328839,Yes,"
              Responses for the drone sounds tested were found to be highly sensitive to the distance between drone and receiver, measured in terms of height above ground level (HAGL). All these findings could inform the optimisation of drone operating conditions in order …
            ",https://pubmed.ncbi.nlm.nih.gov/35328839/
"
              
                Task-Incremental Learning for Drone Pilot Identification Scheme.
              
            ","Han L, Zhong X, Zhang Y.",<built-in method split of str object at 0x000001C4051CEB10>,37447829,Yes,"
              With the maturity of Unmanned Aerial Vehicle (UAV) technology and the development of Industrial Internet of Things, drones have become an indispensable part of intelligent transportation systems. ...To address this challenge, we propose an incremental learnin …
            ",https://pubmed.ncbi.nlm.nih.gov/37447829/
"
Drone-assisted collection of environmental DNA from tree branches for biodiversity monitoring.
              
            ","Aucone E, Kirchgeorg S, Valentini A, Pellissier L, Deiner K, Mintchev S.",<built-in method split of str object at 0x000001C40692E780>,36652506,No,"
              Here, we propose to survey biodiversity by sampling eDNA on the outer branches of tree canopies with an aerial robot. The drone combines a force-sensing cage with a haptic-based control strategy to establish and maintain contact with the upper surface of the branche …
            ",https://pubmed.ncbi.nlm.nih.gov/36652506/
"
              
                Underwater Drone Architecture for Marine Digital Twin: Lessons Learned from SUSHI DROP Project.
              
            ","Lambertini A, Menghini M, Cimini J, Odetti A, Bruzzone G, Bibuli M, Mandanici E, Vittuari L, Castaldi P, Caccia M, De Marchi L.",<built-in method split of str object at 0x000001C4051DD7F0>,35161495,Yes,"
              Underwater ecosystems present greater challenges and remain largely unexplored, but the need for reliable and up-to-date information motivated the birth of the Interreg Italy-Croatia SUSHI DROP Project (SUstainable fiSHeries wIth DROnes data Processing). The aim of the pro …
            ",https://pubmed.ncbi.nlm.nih.gov/35161495/
"
Drone delivery of automated external defibrillators compared with ambulance arrival in real-life suspected out-of-hospital cardiac arrests: a prospective observational study in Sweden.
              
            ","Schierbeck S, Nord A, Svensson L, Ringh M, Nordberg P, Hollenberg J, Lundgren P, Folke F, Jonsson M, Forsberg S, Claesson A.",<built-in method split of str object at 0x000001C405181BC0>,38000871,Yes,"
              Explorative outcomes were percentage of attached drone-delivered AEDs before ambulance arrival and the percentage of cases defibrillated by a drone-delivered AED when it was used before ambulance arrival. ...In cases for which arrival times for both drone and …
            ",https://pubmed.ncbi.nlm.nih.gov/38000871/
"
Drone-Augmented Human Vision: Exocentric Control for Drones Exploring Hidden Areas.
              
            ","Erat O, Isop WA, Kalkofen D, Schmalstieg D.",<built-in method split of str object at 0x000001C406784530>,29543162,No,"
              This paper investigates the potential of drone-augmented human vision, i.e., of exploring the environment and controlling the drone indirectly from an exocentric viewpoint. ...We assess our system with a first experiment showing how drone-augmented human visi …
            ",https://pubmed.ncbi.nlm.nih.gov/29543162/
"
              
                Energy-Aware Dynamic 3D Placement of Multi-Drone Sensing Fleet.
              
            ","Luo Y, Chen Y.",<built-in method split of str object at 0x000001C4067CD2E0>,33918003,Yes,"
Unmanned Aerial Vehicles (UAVs, also known as drones) have become increasingly appealing with various applications and services over the past years. ...This paper presents a 3D placement scheme for multi-drone sensing/monitoring platforms, where a flee …
            ",https://pubmed.ncbi.nlm.nih.gov/33918003/
"
              
                Influence of drone carriage material on maintenance of storage temperature and quality of blood samples during transportation in an equatorial climate.
              
            ","Zailani MAH, Raja Sabudin RZA, Ismail A, Abd Rahman R, Mohd Saiboon I, Sabri SI, Seong CK, Mail J, Md Jamal S, Beng GK, Mahdy ZA.",<built-in method split of str object at 0x000001C4052094D0>,36070297,Yes,"
              Two phases of drone simulation flights were conducted in Cyberjaya, Malaysia. In Phase 1, the effect of drone carriage material on the internal storage temperature during blood samples transportation was determined. ...Drone carriage material is an important …
            ",https://pubmed.ncbi.nlm.nih.gov/36070297/
"
              
                Conditional trust: Community perceptions of drone use in malaria control in Zanzibar.
              
            ","Hardy A, Proctor M, MacCallum C, Shawe J, Abdalla S, Ali R, Abdalla S, Oakes G, Rosu L, Worrall E.",<built-in method split of str object at 0x000001C4051C33F0>,35299834,Yes,"
              Although permissions from civil aviation authorities are often needed for drone operations, the communities over which they fly tend to be ignored: How do affected communities perceive drones? ...A community engagement framework was developed, based on participatory …
            ",https://pubmed.ncbi.nlm.nih.gov/35299834/
"
              
                Blood delivery by drone: a faltering step in a promising direction.
              
            ","Li Q, Xia J, Ge F, Lu Q, Zhang M.",<built-in method split of str object at 0x000001C406784C30>,35839810,Yes,"
",https://pubmed.ncbi.nlm.nih.gov/35839810/
"
              
                A Comprehensive Collection and Analysis Model for the Drone Forensics Field.
              
            ","Alotaibi FM, Al-Dhaqm A, Al-Otaibi YD, Alsewari AA.",<built-in method split of str object at 0x000001C406785230>,36080945,Yes,"
Unmanned aerial vehicles (UAVs) are adaptable and rapid mobile boards that can be applied to several purposes, especially in smart cities. ...Drone-based evidence collection and preservation entails accumulating and collecting digital evidence from the dro …
            ",https://pubmed.ncbi.nlm.nih.gov/36080945/
"
              
                Generative Adversarial Networks and Data Clustering for Likable Drone Design.
              
            ","Yamin LJ, Cauchard JR.",<built-in method split of str object at 0x000001C4051CFBB0>,36080891,Yes,"
              Novel applications for human-drone interaction demand new design approaches, such as social drones that need to be perceived as likable by users. ...This work leverages deep learning-based techniques to generate novel likable drone images. We collected a d …
            ",https://pubmed.ncbi.nlm.nih.gov/36080891/
"
              
                A bio-mimetic miniature drone for real-time audio based short-range tracking.
              
            ","Zigelman R, Eitan O, Mazar O, Weiss A, Yovel Y.",<built-in method split of str object at 0x000001C4051C3750>,35259156,Yes,"
              In this project, we set to mimic this ability using a physical bio-mimetic autonomous drone. We equipped a miniature commercial drone with our in-house 2D sound localization electronic circuit which uses two microphones (mimicking biological ears) to localize sound …
            ",https://pubmed.ncbi.nlm.nih.gov/35259156/
"
              
                Automated Detection of Rice Bakanae Disease via Drone Imagery.
              
            ","Kim D, Jeong S, Kim B, Kim SJ, Kim H, Jeong S, Yun GY, Kim KY, Park K.",<built-in method split of str object at 0x000001C406785330>,36616630,Yes,"
              This paper proposes a system for the forecasting and automated inspection of rice Bakanae disease (RBD) infection rates via drone imagery. The proposed system synthesizes camera calibrations and area calculations in the optimal data domain to detect infected bunches and cl …
            ",https://pubmed.ncbi.nlm.nih.gov/36616630/
"
              
                Use of a Drone-Delivered Automated External Defibrillator in an Out-of-Hospital Cardiac Arrest.
              
            ","Schierbeck S, Svensson L, Claesson A.",<built-in method split of str object at 0x000001C405C8C300>,35584161,No,"
",https://pubmed.ncbi.nlm.nih.gov/35584161/
"
Drone for medical products transportation in maternal healthcare: A systematic review and framework for future research.
              
            ","Zailani MAH, Sabudin RZAR, Rahman RA, Saiboon IM, Ismail A, Mahdy ZA.",<built-in method split of str object at 0x000001C4051C3990>,32899033,Yes,"
              The report was made in accordance with the principles of PRISMA guidelines. The search terms used were related to drones including unmanned aerial vehicle (UAV) and unmanned aerial system (UAS), and related to obstetric/maternal including obstet …
            ",https://pubmed.ncbi.nlm.nih.gov/32899033/
"
              
                Comparison of drone and vessel-based collection of microbiological water samples in marine environments.
              
            ","Horricks RA, Bannister C, Lewis-McCrea LM, Hicks J, Watson K, Reid GK.",<built-in method split of str object at 0x000001C4051C3AB0>,35593922,Yes,"
              In Canada, the Canadian Shellfish Sanitation Program aims to avoid consumption of contaminated molluscan bivalves by monitoring fecal coliform bacteria through vessel-based water sample collection. Uncrewed aerial vehicles or drones are becoming more commonly used f …
            ",https://pubmed.ncbi.nlm.nih.gov/35593922/
"
Drone-based investigation of natural restoration of vegetation in the water level fluctuation zone of cascade reservoirs in Jinsha River.
              
            ","Jiang W, Li W, Zhou J, Wang P, Xiao H.",<built-in method split of str object at 0x000001C40674C490>,35902673,Yes,"
",https://pubmed.ncbi.nlm.nih.gov/35902673/
"
              
                An autonomous drone for search and rescue in forests using airborne optical sectioning.
              
            ","Schedl DC, Kurmi I, Bimber O.",<built-in method split of str object at 0x000001C406F41210>,34162744,No,"
              Autonomous drones will play an essential role in human-machine teaming in future search and rescue (SAR) missions. ...Once received, these results can be visually enhanced for interpretation on remote mobile devices....
            ",https://pubmed.ncbi.nlm.nih.gov/34162744/
"
              
                Utilizing Drone-Based Ground-Penetrating Radar for Crime Investigations in Localizing and Identifying Clandestine Graves.
              
            ","Lijcklama À Nijeholt L, Kronshorst TY, Teeffelen KV, van Manen B, Emaus R, Knotter J, Mersha A.",<built-in method split of str object at 0x000001C405181D10>,37631665,Yes,"
              Ground-penetrating radar (GPR) is an effective technology for identifying potential grave locations without disturbance. This research aimed to prototype a drone system integrating GPR to assist in grave localization and to develop software for data management. ...It is su …
            ",https://pubmed.ncbi.nlm.nih.gov/37631665/
"
              
                Learning Transferable Driven and Drone Assisted Sustainable and Robust Regional Disease Surveillance for Smart Healthcare.
              
            ","Jin Y, Qian Z, Gong S, Yang W.",<built-in method split of str object at 0x000001C406CE5240>,32804655,No,"
              Given a set of Disease surveillance Area (DsA)s and Point of disease Surveillance (PoS)s, some sensors are deployed to monitor these PoSs, and a drone collect data from the sensors as well as charge the sensors to extend their life-cycles. The drone replenish its en …
            ",https://pubmed.ncbi.nlm.nih.gov/32804655/
"
              
                Social Drone Sharing to Increase UAV Patrolling Autonomy in Pre- and Post-Emergency Scenarios.
              
            ","Bisio IS, Morando L, Recchiuto CT, Sgorbissa A.",<built-in method split of str object at 0x000001C4070A4140>,35445081,Yes,"
              Multirotor drones are becoming increasingly popular in a number of application fields, with a unique appeal to the scientific community and the general public. ...Specifically, the article focuses on teams of drones in pre- and post-event monitoring and assessment. …
            ",https://pubmed.ncbi.nlm.nih.gov/35445081/
"
              
                A colonial-nesting seabird shows no heart-rate response to drone-based population surveys.
              
            ","Geldart EA, Barnas AF, Semeniuk CAD, Gilchrist HG, Harris CM, Love OP.",<built-in method split of str object at 0x000001C406786130>,36335150,Yes,"
Aerial drones are increasingly being used as tools for ecological research and wildlife monitoring in hard-to-access study systems, such as in studies of colonial-nesting birds. ...Eider heart rate did not change from baseline (measured in the absence of drone …
            ",https://pubmed.ncbi.nlm.nih.gov/36335150/
