id,title,assignee,author ,priority date,filing/creation date,publication date,grant date,result_link,figure_link
US-11790741-B2,Drone based security system ,Albert Williams,Albert Williams,2017-1-31,2020-3-30,2023-10-17,2023-10-17,https://patents.google.com/patent/US11790741B2/en,https://patentimages.storage.googleapis.com/a2/57/b0/5b328d336e7e5e/US11790741-20231017-D00000.png
US-10450091-B2,"Package acceptance, guidance, and refuel system for drone technology ",DroneTerminus LLC,"Joseph Barry MCMILLIAN, Mark Messina, Paul Caprioli",2017-4-7,2018-4-5,2019-10-22,2019-10-22,https://patents.google.com/patent/US10450091B2/en,https://patentimages.storage.googleapis.com/d8/56/55/051997979773ca/US10450091-20191022-D00000.png
US-11440672-B2,Hybrid VTOL fixed-wing drone ,"Shanghai Autoflight Co., Ltd.",Yu Tian,2017-7-6,2018-7-30,2022-9-13,2022-9-13,https://patents.google.com/patent/US11440672B2/en,https://patentimages.storage.googleapis.com/5d/fc/bb/a1f444ba3dcfb8/US11440672-20220913-D00000.png
US-10351261-B1,Autonomous drone based package reception and surveillance system ,Carolyn Bryant,Carolyn Bryant,2018-3-5,2018-8-20,2019-7-16,2019-7-16,https://patents.google.com/patent/US10351261B1/en,https://patentimages.storage.googleapis.com/42/5c/2b/5a1c31f6fc230f/US10351261-20190716-D00000.png
KR-101894409-B1,Drone control system and method ,주식회사 무지개연구소,"김용덕, 류민지",2017-11-29,2017-11-29,2018-9-4,2018-9-4,https://patents.google.com/patent/KR101894409B1/en,https://patentimages.storage.googleapis.com/4b/fe/ed/c185313ce6d44e/112017119210466-pat00001.png
US-10216181-B2,Implementation of a rescue drone ,International Business Machines Corporation,"Jeremy R. Fox, Andrew R. Jones, Norman Tsu-Han Liu, Balasubramanian Sivasubramanian",2016-8-4,2017-12-20,2019-2-26,2019-2-26,https://patents.google.com/patent/US10216181B2/en,https://patentimages.storage.googleapis.com/6a/3c/a0/711f88c44b0a5c/US10216181-20190226-D00000.png
US-10831197-B2,Personality sharing among drone swarm ,International Business Machines Corporation,"Thomas D. Erickson, Kala K. Fleming, Clifford A. Pickover, Komminist Weldemariam",2017-1-27,2019-6-17,2020-11-10,2020-11-10,https://patents.google.com/patent/US10831197B2/en,https://patentimages.storage.googleapis.com/a4/3f/3b/ff0efbd1c66c7d/US10831197-20201110-D00000.png
US-10794159-B2,Bottom-fire perforating drone ,DynaEnergetics Europe GmbH,"Christian Eitschberger, Liam Mcnelis, Thilo Scharf, Andreas Robert Zemla, Shmuel Silverman, Gernot Uwe Burmeister, Arash Shahinpour",2018-5-31,2019-6-25,2020-10-6,2020-10-6,https://patents.google.com/patent/US10794159B2/en,https://patentimages.storage.googleapis.com/ea/ea/cf/f0df67bf1f57f3/US10794159-20201006-D00000.png
US-11914370-B2,System and method for providing easy-to-use release and auto-positioning for drone applications ,"Hangzhou Zero Zero Technology Co., Ltd.","Tong Zhang, Mengqiu Wang",2017-6-5,2021-2-18,2024-2-27,2024-2-27,https://patents.google.com/patent/US11914370B2/en,https://patentimages.storage.googleapis.com/f2/79/3a/67455bf4c166d0/US11914370-20240227-D00000.png
KR-102121974-B1,Disaster damage investigation·analysis system using drone and disaster damage investigation·analysis method ,대한민국,"김성삼, 박제성, 신동윤",2019-12-5,2019-12-5,2020-6-12,2020-6-12,https://patents.google.com/patent/KR102121974B1/en,https://patentimages.storage.googleapis.com/8f/73/bc/2bd9697d3ed902/112019125915894-pat00005.png
US-11117661-B2,Rotary wing drone comprising a collapsible drone structure ,Parrot Drones,Christine Caubel,2017-9-7,2018-9-7,2021-9-14,2021-9-14,https://patents.google.com/patent/US11117661B2/en,https://patentimages.storage.googleapis.com/c9/23/44/d89b99ec9f490d/US11117661-20210914-D00000.png
US-10748107-B2,"Systems, methods, and apparatuses for managing aerial drone parcel transfers ",Ingar LLC,Nicolaas STOMAN,2015-6-1,2017-10-31,2020-8-18,2020-8-18,https://patents.google.com/patent/US10748107B2/en,https://patentimages.storage.googleapis.com/49/ae/06/c2405cd31a3b76/US10748107-20200818-D00000.png
US-9999213-B2,Multi function photo electro acoustic ions drone ,Simon Siu-Chi Yu,Simon Siu-Chi Yu,2016-5-28,2017-10-4,2018-6-19,2018-6-19,https://patents.google.com/patent/US9999213B2/en,https://patentimages.storage.googleapis.com/88/9f/74/1b4cc069792d17/US09999213-20180619-D00000.png
US-10922983-B2,Programming language for execution by drone ,International Business Machines Corporation,"Jeanette L. Blomberg, Eric K. Butler, Anca A. Chandra, Pawan R. Chowdhary, Thomas D. Griffin, Divyesh Jadav, Shun Jiang, Sunhwan Lee, Robert J. Moore, Hovey R. Strong, Jr., Chung-Hao Tan",2016-3-8,2018-6-19,2021-2-16,2021-2-16,https://patents.google.com/patent/US10922983B2/en,https://patentimages.storage.googleapis.com/16/86/96/630192ac0dc13d/US10922983-20210216-D00000.png
AU-2019204882-C1,"System, Method and Station for landing of a Drone ",Zambelli Imagineering Pty Ltd,Kate ZAMBELLI,2017-10-12,2019-7-8,2021-10-28,2021-10-28,https://patents.google.com/patent/AU2019204882C1/en,
US-11914400-B2,Dynamic drone navigation ,Alarm.Com Incorporated,"Babak Rezvani, Ahmad Seyfi",2017-1-17,2020-10-19,2024-2-27,2024-2-27,https://patents.google.com/patent/US11914400B2/en,https://patentimages.storage.googleapis.com/bf/e1/b2/7e1becfb977a4c/US11914400-20240227-D00000.png
KR-101990886-B1,Big data-based autonomous flight drone system and its autonomous flight method ,주식회사 무지개연구소,"김용덕, 류민지",2018-11-22,2018-11-22,2019-6-19,2019-6-19,https://patents.google.com/patent/KR101990886B1/en,https://patentimages.storage.googleapis.com/03/6b/0f/bbe12202a8dd55/112018116804788-pat00001.png
US-10479528-B1,Network of distributed drone system and parking pads ,Ping Liang,"Ping Liang, Biyonka Liang",2018-11-6,2018-11-6,2019-11-19,2019-11-19,https://patents.google.com/patent/US10479528B1/en,https://patentimages.storage.googleapis.com/83/1a/d3/330db29622ae73/US10479528-20191119-D00000.png
CA-3034704-C,Home-delivered article loading device for drone ,"Jeong-Hoon Shin, Reel Tech Co., Ltd.",Jeong-Hoon Shin,2016-7-27,2017-7-27,2021-5-4,2021-5-4,https://patents.google.com/patent/CA3034704C/en,
US-10378906-B2,Systems and methods for autonomous drone navigation ,"Walmart Apollo, Llc","John Jeremiah O'Brien, Donald HIGH, Chandrashekar Natarajan, Nathan Glenn Jones",2016-10-4,2017-10-3,2019-8-13,2019-8-13,https://patents.google.com/patent/US10378906B2/en,https://patentimages.storage.googleapis.com/8a/af/6f/37c84db6a50421/US10378906-20190813-D00000.png
US-10354537-B2,Method and apparatus for privacy-sensitive routing of an aerial drone ,Here Global B.V.,"Jerome Beaurepaire, Marko Tuukkanen",2017-5-2,2018-8-27,2019-7-16,2019-7-16,https://patents.google.com/patent/US10354537B2/en,https://patentimages.storage.googleapis.com/98/a1/ad/5a386067212534/US10354537-20190716-D00000.png
US-10861305-B2,Drone enabled street watch ,"Vivint, Inc.",Clint Huson Gordon-Carroll,2016-5-20,2017-7-7,2020-12-8,2020-12-8,https://patents.google.com/patent/US10861305B2/en,https://patentimages.storage.googleapis.com/bd/54/9d/bfb83280f16da3/US10861305-20201208-D00000.png
KR-102001728-B1,Method and system for acquiring three dimentional position coordinates in non-control points using stereo camera drone ,공간정보기술 주식회사,"이종훈, 박성근, 신재호, 변정민, 최윤호",2017-11-7,2017-11-7,2019-7-18,2019-7-18,https://patents.google.com/patent/KR102001728B1/en,https://patentimages.storage.googleapis.com/c8/47/0d/76085afcdbeb22/112017110539315-pat00003.png
US-10163355-B2,"Dynamic management system, method, and recording medium for cognitive drone-swarms ",International Business Machines Corporation,"Thomas David Erickson, Rogerio Schmidt Feris, Clifford A. Pickover",2015-11-3,2017-1-30,2018-12-25,2018-12-25,https://patents.google.com/patent/US10163355B2/en,https://patentimages.storage.googleapis.com/0a/87/25/76b5602f1d2793/US10163355-20181225-D00000.png
US-10207805-B2,Drone transport system ,Michael Steward Evans,Michael Steward Evans,2017-1-6,2017-3-10,2019-2-19,2019-2-19,https://patents.google.com/patent/US10207805B2/en,https://patentimages.storage.googleapis.com/c7/bd/0d/29475510db8a8e/US10207805-20190219-D00000.png
US-10332406-B2,Dynamic geo-fence for drone ,International Business Machines Corporation,"Yuk L. Chan, Kyle E. Gilbertson, Daniel F. Hogerty, Eileen P. Tedesco",2015-11-25,2017-11-15,2019-6-25,2019-6-25,https://patents.google.com/patent/US10332406B2/en,https://patentimages.storage.googleapis.com/6d/76/ba/17cd0d8439fd17/US10332406-20190625-D00000.png
US-10351044-B2,Drone-enhanced vehicle external lights ,International Business Machines Corporation,"Michael S. Gordon, James Robert Kozloski, Clifford A. Pickover",2016-7-29,2018-5-31,2019-7-16,2019-7-16,https://patents.google.com/patent/US10351044B2/en,https://patentimages.storage.googleapis.com/59/fd/a1/8d55f1183c5988/US10351044-20190716-D00000.png
US-10326939-B2,Drone provided with a video camera and means for compensating for the artefacts produced at the highest roll angles ,Parrot,Pierre Eline,2015-1-26,2017-12-14,2019-6-18,2019-6-18,https://patents.google.com/patent/US10326939B2/en,https://patentimages.storage.googleapis.com/ef/07/53/d54753b798e405/US10326939-20190618-D00000.png
TW-I687111-B,Wwan radio link quality navigation for a drone ,美商高通公司,愛德華哈利森 提格,2016-7-15,2017-6-1,2020-3-1,2020-3-1,https://patents.google.com/patent/TWI687111B/en,https://patentimages.storage.googleapis.com/ee/de/29/804cbcd7ffcb63/106118007-A0304-14-0001-1.png
US-10535195-B2,Virtual reality system with drone integration ,"SonicSensory, Inc.",Brock Maxwell SEILER,2016-1-6,2017-1-6,2020-1-14,2020-1-14,https://patents.google.com/patent/US10535195B2/en,https://patentimages.storage.googleapis.com/ce/e7/34/e0951260a1bcab/US10535195-20200114-D00000.png
US-10169627-B2,Optical marker for delivery drone cargo delivery ,International Business Machines Corporation,"Gregory S. Jones, John S. Pannell",2016-1-22,2017-11-22,2019-1-1,2019-1-1,https://patents.google.com/patent/US10169627B2/en,https://patentimages.storage.googleapis.com/00/fb/85/1fc57bfe2b7a5e/US10169627-20190101-D00000.png
KR-101933216-B1,River topography information generation method using drone and geospatial information ,충남대학교산학협력단,"이근상, 정관수, 유완식, 최미경",2017-6-1,2017-6-1,2018-12-27,2018-12-27,https://patents.google.com/patent/KR101933216B1/en,https://patentimages.storage.googleapis.com/6c/04/14/8f96aea6011152/112017052749290-pat00015.png
EP-3522573-B1,Drone measurement reporting controlled by a combination of altitude and speed ,Sony Group Corporation,"Atsushi Yoshizawa, Hiromasa Uchiyama",2016-9-27,2017-8-15,2021-7-28,2021-7-28,https://patents.google.com/patent/EP3522573B1/en,https://patentimages.storage.googleapis.com/ee/73/c6/6e5616b8ea780a/imgf0001.png
US-11022408-B2,"Drone interceptor system, and methods and computer program products useful in conjunction therewith ",Elta Systems Ltd.,Gil KLAR,2018-3-13,2019-3-13,2021-6-1,2021-6-1,https://patents.google.com/patent/US11022408B2/en,https://patentimages.storage.googleapis.com/1b/f4/72/d61a6733a97428/US11022408-20210601-D00000.png
JP-6844097-B2,Drone flying object ,"インダストリーネットワーク株式会社, シナノケンシ株式会社","大橋　俊夫, 大橋　　俊夫, 敬 林部, 敬 林部, 将美 岩瀬, 将美 岩瀬",2016-4-19,2017-4-18,2021-3-17,2021-3-17,https://patents.google.com/patent/JP6844097B2/en,
US-11235874-B2,Automated drone-based spraying system ,"Greensight Agronomics, Inc.","Robert M. Jones, James R. Peverill, Andrew D. Delollis",2018-3-30,2019-3-28,2022-2-1,2022-2-1,https://patents.google.com/patent/US11235874B2/en,https://patentimages.storage.googleapis.com/16/b3/73/22b90aa1bc4f76/US11235874-20220201-D00000.png
US-11445846-B2,Drone delivery platform to facilitate delivery of parcels by unmanned aerial vehicles ,"United Parcel Service Of America, Inc.","Julio Gil, Bala Ganesh, Thomas Ramsager",2018-12-6,2021-3-29,2022-9-20,2022-9-20,https://patents.google.com/patent/US11445846B2/en,https://patentimages.storage.googleapis.com/a7/c2/52/98196c8d267040/US11445846-20220920-D00000.png
US-9937808-B2,Drone charging stations ,Michael Steward Evans,Michael Steward Evans,2016-9-9,2016-9-9,2018-4-10,2018-4-10,https://patents.google.com/patent/US9937808B2/en,https://patentimages.storage.googleapis.com/78/cb/84/1610a849838432/US09937808-20180410-D00000.png
US-10104289-B2,Modular camera drone ,"SWL Robotics, Inc.","Enrique Jesus Enriquez, Carlos Alberto Valencia, Enrique Frecci Enriquez, Ricardo Enriquez",2016-8-31,2017-3-13,2018-10-16,2018-10-16,https://patents.google.com/patent/US10104289B2/en,https://patentimages.storage.googleapis.com/2b/ae/93/0139f6ad5535c9/US10104289-20181016-D00000.png
US-10618652-B2,Surface washing drone ,"Drone Wash, Inc.","Scott J. Tamkin, SR.",2016-4-20,2017-4-20,2020-4-14,2020-4-14,https://patents.google.com/patent/US10618652B2/en,https://patentimages.storage.googleapis.com/4a/16/79/0aa60388f3b91a/US10618652-20200414-D00000.png
US-10336202-B2,Drone assistance apparatus with charging system and method ,Peter J. Panopoulos,"Peter J. Panopoulos, Gordon Paul Ramsey",2013-8-5,2017-2-27,2019-7-2,2019-7-2,https://patents.google.com/patent/US10336202B2/en,https://patentimages.storage.googleapis.com/63/22/04/9996daf5b95561/US10336202-20190702-D00000.png
US-10690772-B2,LIDAR site model to aid counter drone system ,Raytheon Bbn Technologies Corp.,Brian R. Van Voorst,2016-3-11,2017-2-27,2020-6-23,2020-6-23,https://patents.google.com/patent/US10690772B2/en,https://patentimages.storage.googleapis.com/35/50/e7/c2aa1b5ff206bc/US10690772-20200623-D00000.png
KR-101933402-B1,A wired drone system which communicates wirelessly and can fly for a long period of time ,주식회사 휴인스,송태훈,2017-12-29,2017-12-29,2018-12-28,2018-12-28,https://patents.google.com/patent/KR101933402B1/en,https://patentimages.storage.googleapis.com/d0/2c/e4/6f344dddd4f2c6/112017131080825-pat00001.png
US-10336441-B2,Drone ,Lg Electronics Inc.,"JungSik Kim, Hyoungrock KIM, Joongtae PARK, Sunho YANG",2016-6-8,2017-6-7,2019-7-2,2019-7-2,https://patents.google.com/patent/US10336441B2/en,https://patentimages.storage.googleapis.com/b5/a3/c5/4a20a393f2803f/US10336441-20190702-D00000.png
US-10703476-B2,Method and apparatus for intelligent inspection and interaction between a vehicle and a drone ,Here Global B.V.,"Ryan ALLARD, Frank Kozak",2017-8-17,2017-8-17,2020-7-7,2020-7-7,https://patents.google.com/patent/US10703476B2/en,https://patentimages.storage.googleapis.com/65/ce/24/67e9c7e9c18e26/US10703476-20200707-D00000.png
US-10228694-B2,Drone and robot control systems and methods ,Animusoft Corporation,Daniel Rodriguez,2016-3-4,2017-3-3,2019-3-12,2019-3-12,https://patents.google.com/patent/US10228694B2/en,https://patentimages.storage.googleapis.com/10/8b/ce/07347be78e1e43/US10228694-20190312-D00000.png
US-10706381-B2,Vehicle and drone management system ,"Omnitracs, Llc","Stephen P. SIMON, Wesley M. Mays",2017-7-5,2017-7-5,2020-7-7,2020-7-7,https://patents.google.com/patent/US10706381B2/en,https://patentimages.storage.googleapis.com/3d/42/a9/6572e2f3108708/US10706381-20200707-D00000.png
US-10642279-B2,Automotive drone deployment system ,"Ford Global Technologies, Llc","John A. Lockwood, Joseph F. Stanek",2014-7-16,2017-1-30,2020-5-5,2020-5-5,https://patents.google.com/patent/US10642279B2/en,https://patentimages.storage.googleapis.com/92/78/a5/954962aa9217a2/US10642279-20200505-D00000.png
US-10301017-B2,Flying and walking drone ,"Patrick del Castillo, Jason Curtis Miller","Patrick del Castillo, Jason Curtis Miller",2016-8-26,2017-8-28,2019-5-28,2019-5-28,https://patents.google.com/patent/US10301017B2/en,https://patentimages.storage.googleapis.com/6d/a7/1d/4bf1fc8b68610e/US10301017-20190528-D00000.png
